Iteration	Likelihood	Prior	p	r
0	-4.99776	1.043804	0.1258781	0.1258781
100	-2.996525	0.3483513	0.1954234	0.1954234
200	-4.654494	0.9553202	0.1347265	0.1347265
300	-2.537418	0.08041715	0.2222168	0.2222168
400	-1.690933	-1.171698	0.3474283	0.3474283
500	-3.727854	0.6634238	0.1639161	0.1639161
600	-1.796827	-0.7177437	0.3020329	0.3020329
700	-1.818228	-0.6730062	0.2975591	0.2975591
800	-3.265752	0.4764492	0.1826136	0.1826136
900	-2.163961	-0.2180027	0.2520588	0.2520588
1000	-2.232407	-2.346681	0.4649266	0.4649266
1100	-3.741627	0.6684823	0.1634103	0.1634103
1200	-1.916021	-1.932017	0.4234602	0.4234602
1300	-1.90991	-0.5165966	0.2819182	0.2819182
1400	-2.137949	-0.2434516	0.2546037	0.2546037
1500	-3.235741	0.4629756	0.183961	0.183961
1600	-1.769645	-0.7821466	0.3084732	0.3084732
1700	-4.417616	0.8888446	0.141374	0.141374
1800	-1.695116	-1.096981	0.3399566	0.3399566
1900	-2.283924	-0.1101789	0.2412764	0.2412764
2000	-2.628866	0.1402554	0.216233	0.216233
2100	-2.084036	-0.2990787	0.2601664	0.2601664
2200	-1.730743	-0.8996653	0.320225	0.320225
2300	-1.726416	-1.486029	0.3788614	0.3788614
2400	-1.822929	-1.757454	0.4060039	0.4060039
2500	-3.526088	0.5861412	0.1716444	0.1716444
2600	-2.318607	-2.43657	0.4739155	0.4739155
2700	-2.281131	-0.1125338	0.2415119	0.2415119
2800	-1.749688	-0.8373153	0.31399	0.31399
2900	-1.954941	-0.4530804	0.2755666	0.2755666
3000	-2.270657	-0.1214241	0.2424009	0.2424009
3100	-2.768107	0.2245307	0.2078054	0.2078054
3200	-1.694599	-1.102938	0.3405523	0.3405523
3300	-2.166399	-0.2156594	0.2518245	0.2518245
3400	-1.959382	-2.000987	0.4303573	0.4303573
3500	-1.704743	-1.377873	0.3680458	0.3680458
3600	-1.859966	-0.596108	0.2898693	0.2898693
3700	-1.745636	-0.8496581	0.3152243	0.3152243
3800	-1.890791	-0.5457339	0.2848319	0.2848319
3900	-4.544889	0.9251539	0.1377431	0.1377431
4000	-2.371242	-0.03970184	0.2342287	0.2342287
4100	-2.483552	0.04323137	0.2259354	0.2259354
4200	-2.588412	0.1142657	0.2188319	0.2188319
4300	-1.797161	-0.7170116	0.3019597	0.3019597
4400	-2.907558	0.3020079	0.2000577	0.2000577
4500	-1.799813	-1.705361	0.4007946	0.4007946
4600	-1.728386	-0.9084161	0.3211001	0.3211001
4700	-3.001982	0.3511228	0.1951462	0.1951462
4800	-3.759197	0.6748975	0.1627688	0.1627688
4900	-2.239754	-0.1482272	0.2450812	0.2450812
5000	-2.616606	0.1324562	0.2170129	0.2170129
5100	-1.707659	-1.002433	0.3305018	0.3305018
5200	-1.710446	-0.98723	0.3289815	0.3289815
5300	-3.007962	0.3541509	0.1948434	0.1948434
5400	-3.600184	0.6152383	0.1687347	0.1687347
5500	-3.302273	0.4925986	0.1809987	0.1809987
5600	-1.715958	-0.9601024	0.3262688	0.3262688
5700	-1.842969	-1.799121	0.4101706	0.4101706
5800	-1.728589	-0.9076524	0.3210237	0.3210237
5900	-1.925588	-1.947755	0.425034	0.425034
6000	-1.802411	-0.7056402	0.3008225	0.3008225
6100	-3.412166	0.5396454	0.176294	0.176294
6200	-2.726911	0.2003771	0.2102208	0.2102208
6300	-1.724043	-0.9253113	0.3227896	0.3227896
6400	-2.626778	0.1389319	0.2163653	0.2163653
6500	-5.42606	1.143093	0.1159492	0.1159492
6600	-2.826767	0.2578922	0.2044693	0.2044693
6700	-2.671615	0.1669474	0.2135638	0.2135638
6800	-2.673393	0.1680415	0.2134544	0.2134544
6900	-1.859391	-1.831314	0.4133899	0.4133899
7000	-2.219887	-0.1659365	0.2468522	0.2468522
7100	-1.785891	-1.671356	0.3973941	0.3973941
7200	-1.721583	-1.465627	0.3768212	0.3768212
7300	-1.949472	-0.4604569	0.2763042	0.2763042
7400	-2.869297	0.2813689	0.2021216	0.2021216
7500	-2.7643	0.2223245	0.2080261	0.2080261
7600	-2.597219	0.1199867	0.2182598	0.2182598
7700	-1.867091	-0.5840479	0.2886633	0.2886633
7800	-2.864656	0.2788351	0.202375	0.202375
7900	-4.034935	0.7703774	0.1532208	0.1532208
8000	-2.14014	-2.242234	0.4544819	0.4544819
8100	-2.726118	0.1999059	0.2102679	0.2102679
8200	-1.71225	-0.9779719	0.3280557	0.3280557
8300	-2.409718	-0.01039765	0.2312983	0.2312983
8400	-2.039165	-0.3488191	0.2651404	0.2651404
8500	-2.103394	-0.2786257	0.2581211	0.2581211
8600	-3.329897	0.5046392	0.1797946	0.1797946
8700	-2.09932	-0.282884	0.2585469	0.2585469
8800	-1.878848	-0.5647139	0.2867299	0.2867299
